filename,width,height,class,xmin,ymin,xmax,ymax
Dress_Casual_10.jpg,130,264,Dress_Casual,5,45,130,255
Dress_Casual_11.jpg,120,184,Dress_Casual,1,19,112,181
Dress_Casual_12.jpg,140,264,Dress_Casual,13,42,135,264
Dress_Casual_13.jpg,170,258,Dress_Casual,54,5,166,258
Dress_Casual_14.jpg,126,240,Dress_Casual,5,2,126,231
Dress_Casual_15.jpg,96,176,Dress_Casual,14,16,96,125
Dress_Casual_6.jpg,116,166,Dress_Casual,1,1,111,166
Dress_Casual_7.jpg,122,180,Dress_Casual,2,1,120,180
Dress_Casual_8.jpg,202,262,Dress_Casual,3,3,202,230
Dress_Casual_9.jpg,112,226,Dress_Casual,1,1,112,217
