filename,width,height,class,xmin,ymin,xmax,ymax
Short_Regular_1.jpg,248,338,Short_Regular,58,36,182,176
Short_Regular_10.jpg,286,500,Short_Regular,4,10,245,246
Short_Regular_2.jpg,572,694,Short_Regular,183,118,415,373
Short_Regular_3.jpg,175,175,Short_Regular,27,15,140,148
Short_Regular_4.jpg,800,800,Short_Regular,281,147,524,392
Short_Regular_5.jpg,1080,1440,Short_Regular,145,182,721,704
Short_Regular_6.jpg,410,410,Short_Regular,120,6,290,218
Short_Regular_7.jpg,544,544,Short_Regular,184,191,382,345
Short_Regular_8.jpg,544,544,Short_Regular,176,18,376,262
Short_Regular_9.jpg,319,477,Short_Regular,22,5,210,183
