filename,width,height,class,xmin,ymin,xmax,ymax
trouser_Slim_1.jpg,434,579,trouser_Slim,118,50,346,523
trouser_Slim_2.jpg,680,680,trouser_Slim,191,79,538,607
trouser_Slim_22.jpg,640,640,trouser_Slim,204,56,459,557
trouser_Slim_23.jpg,870,1110,trouser_Slim,394,350,747,1042
trouser_Slim_3.jpg,632,725,trouser_Slim,110,1,416,607
trouser_Slim_4.jpg,683,1024,trouser_Slim,155,12,558,756
trouser_Slim_5.jpg,552,680,trouser_Slim,139,25,426,596
trouser_Slim_6.jpg,385,500,trouser_Slim,94,13,300,467
trouser_Slim_7.jpg,297,550,trouser_Slim,53,15,288,476
trouser_Slim_8.jpg,314,400,trouser_Slim,89,122,247,374
