filename,width,height,class,xmin,ymin,xmax,ymax
Skirt_Short_1.jpg,361,452,Skirt_Short,100,141,220,262
Skirt_Short_14.jpg,194,259,Skirt_Short,46,24,129,124
Skirt_Short_15.jpg,195,258,Skirt_Short,51,4,155,98
Skirt_Short_16.jpg,221,228,Skirt_Short,75,122,204,197
Skirt_Short_2.jpg,240,337,Skirt_Short,61,5,202,116
Skirt_Short_3.jpg,800,800,Skirt_Short,178,244,601,605
Skirt_Short_31.jpg,183,275,Skirt_Short,59,99,126,175
Skirt_Short_4.jpg,200,260,Skirt_Short,30,35,200,196
Skirt_Short_47.jpg,198,255,Skirt_Short,64,85,150,153
Skirt_Short_5.jpg,388,500,Skirt_Short,39,7,356,297
