filename,width,height,class,xmin,ymin,xmax,ymax
Top_Casual_1.jpg,361,452,Top_Casual,94,111,265,256
Top_Casual_10.jpg,280,280,Top_Casual,81,37,236,207
Top_Casual_2.jpg,415,625,Top_Casual,47,161,390,442
Top_Casual_3.jpg,408,589,Top_Casual,52,146,355,525
Top_Casual_4.jpg,240,337,Top_Casual,53,80,175,254
Top_Casual_5.jpg,240,337,Top_Casual,45,75,223,244
Top_Casual_6.jpg,240,312,Top_Casual,42,65,236,283
Top_Casual_7.jpg,349,523,Top_Casual,52,88,291,381
Top_Casual_8.jpg,349,523,Top_Casual,27,138,345,467
Top_Casual_9.jpg,365,458,Top_Casual,62,117,323,422
