filename,width,height,class,xmin,ymin,xmax,ymax
Dress_Formal_1.jpg,290,414,Dress_Formal,23,71,249,399
Dress_Formal_11.jpg,420,700,Dress_Formal,111,99,312,485
Dress_Formal_13.jpg,183,275,Dress_Formal,54,52,126,226
Dress_Formal_14.jpg,225,225,Dress_Formal,86,35,141,173
Dress_Formal_2.jpg,240,312,Dress_Formal,46,63,196,312
Dress_Formal_4.jpg,200,260,Dress_Formal,31,1,160,260
Dress_Formal_5.jpg,246,302,Dress_Formal,59,65,186,287
Dress_Formal_6.jpg,246,302,Dress_Formal,61,59,196,296
Dress_Formal_7.jpg,300,600,Dress_Formal,69,112,237,426
Dress_Formal_9.jpg,192,262,Dress_Formal,77,38,184,255
