filename,width,height,class,xmin,ymin,xmax,ymax
High-Heel_1.jpg,560,840,High-Heel,6,438,310,767
High-Heel_1.jpg,560,840,High-Heel,298,383,551,713
High-Heel_2.jpg,314,400,High-Heel,39,187,180,333
High-Heel_2.jpg,314,400,High-Heel,170,174,285,338
High-Heel_4.jpg,350,375,High-Heel,23,190,181,347
High-Heel_4.jpg,350,375,High-Heel,171,227,308,363
High-Heel_5.jpg,217,232,High-Heel,30,136,117,218
High-Heel_5.jpg,217,232,High-Heel,106,118,193,208
High-Heel_7.jpg,1920,1277,High-Heel,16,221,1028,1170
High-Heel_7.jpg,1920,1277,High-Heel,926,340,1910,1232
