filename,width,height,class,xmin,ymin,xmax,ymax
Skirt_Long_1.jpg,600,960,Skirt_Long,2,325,541,925
Skirt_Long_10.jpg,236,286,Skirt_Long,58,99,174,251
Skirt_Long_2.jpg,661,1000,Skirt_Long,196,53,529,959
Skirt_Long_3.jpg,236,354,Skirt_Long,73,119,166,295
Skirt_Long_4.jpg,236,649,Skirt_Long,12,175,222,647
Skirt_Long_5.jpg,638,640,Skirt_Long,64,233,250,625
Skirt_Long_5.jpg,638,640,Skirt_Long,376,59,604,543
Skirt_Long_6.jpg,544,640,Skirt_Long,5,194,544,616
Skirt_Long_7.jpg,800,800,Skirt_Long,190,96,633,770
Skirt_Long_8.jpg,236,354,Skirt_Long,58,13,183,339
Skirt_Long_9.jpg,236,205,Skirt_Long,64,75,181,199
