filename,width,height,class,xmin,ymin,xmax,ymax
trouser_Denim_10.jpg,183,275,trouser_Denim,54,98,120,245
trouser_Denim_15.jpg,213,237,trouser_Denim,49,24,150,219
trouser_Denim_2.jpg,510,902,trouser_Denim,140,385,474,902
trouser_Denim_20.jpg,194,259,trouser_Denim,29,19,153,236
trouser_Denim_3.jpg,400,225,trouser_Denim,93,43,309,225
trouser_Denim_4.jpg,442,750,trouser_Denim,116,267,383,698
trouser_Denim_5.jpg,225,225,trouser_Denim,69,2,197,200
trouser_Denim_7.jpg,189,266,trouser_Denim,54,93,146,256
trouser_Denim_8.jpg,183,275,trouser_Denim,41,1,173,252
trouser_Denim_9.jpg,262,192,trouser_Denim,98,95,162,192
