filename,width,height,class,xmin,ymin,xmax,ymax
Dress_Party_10.jpg,159,318,Dress_Party,43,46,121,216
Dress_Party_11.jpg,194,259,Dress_Party,68,44,177,258
Dress_Party_13.jpg,191,264,Dress_Party,52,45,149,188
Dress_Party_15.jpg,98,136,Dress_Party,6,31,98,135
Dress_Party_2.jpg,290,375,Dress_Party,72,82,239,374
Dress_Party_4.jpg,258,387,Dress_Party,65,55,201,329
Dress_Party_5.jpg,364,546,Dress_Party,106,91,257,440
Dress_Party_6.jpg,244,430,Dress_Party,53,79,192,378
Dress_Party_7.jpg,186,270,Dress_Party,49,31,128,214
Dress_Party_9.jpg,225,225,Dress_Party,81,31,156,162
